trade_date,portfolio_value,benchmark_value,cash,equity,position,n_holdings
2022-12-21,878608.9456394538,778918.5059319524,174806.70535808714,703802.2402813666,0.8,10
2022-12-22,884896.44023507,780034.7853119383,174806.70535808714,710089.7348769828,0.8,10
2022-12-23,882869.9654542983,778446.8282778766,174806.70535808714,708063.2600962112,0.8,10
2022-12-26,875909.8141620483,781551.8768250286,174806.70535808714,701103.1088039612,0.8,10
2022-12-27,888604.3776983216,790573.3118251902,174806.70535808714,713797.6723402344,0.8,10
2022-12-28,890836.8648832731,787199.9096825544,174806.70535808714,716030.159525186,0.8,10
2022-12-29,884425.0454090934,784238.4629457612,174806.70535808714,709618.3400510063,0.8,10
2022-12-30,890773.8431216206,787275.0251013403,174806.70535808714,715967.1377635334,0.8,10
2023-01-03,890061.224047123,790582.5029917551,177442.14954982657,712619.0744972964,0.8,10
2023-01-04,898734.8356926683,791609.087159975,177442.14954982657,721292.6861428418,0.8,10
2023-01-05,906819.616813495,806988.1252771456,177442.14954982657,729377.4672636685,0.8,10
2023-01-06,905670.1630947466,809491.4167619996,177442.14954982657,728228.01354492,0.8,10
2023-01-09,907090.0546424801,816045.36922492,177442.14954982657,729647.9050926535,0.8,10
2023-01-10,905716.5296690434,816930.7510466187,177442.14954982657,728274.3801192167,0.8,10
2023-01-11,909039.6917752519,815417.2993981637,177442.14954982657,731597.5422254254,0.8,10
2023-01-12,909543.8920075148,817011.1737540626,177442.14954982657,732101.7424576882,0.8,10
2023-01-13,914927.4282001886,828501.758715488,177442.14954982657,737485.278650362,0.8,10
2023-01-16,926795.6629854038,841431.838969623,177442.14954982657,749353.5134355772,0.8,10
2023-01-17,925045.917557162,841285.0039834148,177442.14954982657,747603.7680073355,0.8,10
2023-01-18,920556.0454575024,839876.2543629319,177442.14954982657,743113.8959076757,0.8,10
2023-01-19,923229.5066984722,845100.8631908481,177442.14954982657,745787.3571486456,0.8,10
2023-01-20,925492.9763821685,850290.0087566196,177442.14954982657,748050.8268323418,0.8,10
2023-01-30,927608.9140777199,854319.9489410364,177442.14954982657,750166.7645278933,0.8,10
2023-01-31,919132.1242675488,845273.7262593642,177442.14954982657,741689.9747177222,0.8,10
2023-02-01,918396.8185681348,853219.4897548283,183091.11915409565,735305.6994140391,0.8,10
2023-02-02,910801.4061782567,850213.2665826895,183091.11915409565,727710.2870241611,0.8,10
2023-02-03,904148.0448807714,842177.6248655055,183091.11915409565,721056.9257266758,0.8,10
2023-02-06,894489.9572487053,831043.7059694573,183091.11915409565,711398.8380946097,0.8,10
2023-02-07,900311.38301982,832539.4259868399,183091.11915409565,717220.2638657243,0.8,10
2023-02-08,896351.0543764841,828860.4378903564,183091.11915409565,713259.9352223885,0.8,10
2023-02-09,912060.3320982279,839986.5076928335,183091.11915409565,728969.2129441323,0.8,10
2023-02-10,906287.1108480289,834995.0535459672,183091.11915409565,723195.9916939333,0.8,10
2023-02-13,911021.0642739204,842572.540011212,183091.11915409565,727929.9451198247,0.8,10
2023-02-14,906577.0104645857,842921.5196585328,183091.11915409565,723485.8913104901,0.8,10
2023-02-15,901049.8786494172,838529.097759098,183091.11915409565,717958.7594953215,0.8,10
2023-02-16,892199.3867264697,832387.7514040777,183091.11915409565,709108.2675723741,0.8,10
2023-02-17,879748.0807002261,820394.3770964426,183091.11915409565,696656.9615461305,0.8,10
2023-02-20,899117.6028800617,840521.9338141249,183091.11915409565,716026.4837259661,0.8,10
2023-02-21,899480.8982938202,842731.0673000194,183091.11915409565,716389.7791397246,0.8,10
2023-02-22,892816.2713330328,835125.3769674612,183091.11915409565,709725.1521789371,0.8,10
2023-02-23,896496.1974842622,834453.4660895672,183091.11915409565,713405.0783301665,0.8,10
2023-02-24,886741.0649985302,825790.8729397884,183091.11915409565,703649.9458444346,0.8,10
2023-02-27,880163.7353222303,822293.0850319351,183091.11915409565,697072.6161681346,0.8,10
2023-02-28,887159.134149312,827501.6093183625,183091.11915409565,704068.0149952164,0.8,10
2023-03-01,886449.4068419926,839190.4143941151,176722.09952254273,709727.3073194498,0.8,10
2023-03-02,886560.5826168631,837318.8732695315,176722.09952254273,709838.4830943204,0.8,10
2023-03-03,891993.267234711,839924.4469840804,176722.09952254273,715271.1677121682,0.8,10
2023-03-06,887311.7711594314,835544.1850793489,176722.09952254273,710589.6716368888,0.8,10
2023-03-07,883598.7632295494,823311.3320800405,176722.09952254273,706876.6637070067,0.8,10
2023-03-08,881894.5686177758,820313.181680305,176722.09952254273,705172.469095233,0.8,10
2023-03-09,880692.5340669695,817414.059999976,176722.09952254273,703970.4345444269,0.8,10
2023-03-10,872971.2708051878,806694.6993180012,176722.09952254273,696249.171282645,0.8,10
2023-03-13,878794.5972151929,815143.8215239756,176722.09952254273,702072.4976926502,0.8,10
2023-03-14,885115.9045846646,810265.508197392,176722.09952254273,708393.805062122,0.8,10
2023-03-15,887822.1418814533,810714.1672661768,176722.09952254273,711100.0423589105,0.8,10
2023-03-16,890086.7336273582,801004.167482332,176722.09952254273,713364.6341048154,0.8,10
2023-03-17,896727.3594996608,805003.7280144297,176722.09952254273,720005.2599771181,0.8,10
2023-03-20,894229.6381545549,800989.2216694441,176722.09952254273,717507.5386320122,0.8,10
2023-03-21,897198.6314014473,809794.2779009808,176722.09952254273,720476.5318789047,0.8,10
2023-03-22,902415.1278391276,813264.2482958672,176722.09952254273,725693.0283165849,0.8,10
2023-03-23,904486.6826743796,821326.2027775096,176722.09952254273,727764.5831518369,0.8,10
2023-03-24,896943.4449381966,818877.1635767164,176722.09952254273,720221.3454156539,0.8,10
2023-03-27,893969.7794147816,815914.7204523974,176722.09952254273,717247.6798922389,0.8,10
2023-03-28,893735.8435059749,813278.8890921655,176722.09952254273,717013.7439834322,0.8,10
2023-03-29,896810.2226362177,814626.9200768893,176722.09952254273,720088.123113675,0.8,10
2023-03-30,903558.8170827304,821211.5572087184,176722.09952254273,726836.7175601876,0.8,10
2023-03-31,904240.4508335998,823733.0276823093,176722.09952254273,727518.3513110571,0.8,10
2023-04-03,903517.058472933,831793.9857764257,180124.69780605327,723392.3606668798,0.8,10
2023-04-04,912353.1475304146,834343.4364384977,180124.69780605327,732228.4497243614,0.8,10
2023-04-06,917557.9019749349,833028.7742686704,180124.69780605327,737433.2041688815,0.8,10
2023-04-07,931040.4030811179,838445.848564591,180124.69780605327,750915.7052750646,0.8,10
2023-04-10,918446.1545118992,834690.4639796454,180124.69780605327,738321.456705846,0.8,10
2023-04-11,915483.1248395431,833742.0860649857,180124.69780605327,735358.4270334898,0.8,10
2023-04-12,928182.070079437,833160.4600975974,180124.69780605327,748057.3722733838,0.8,10
2023-04-13,904882.6842693812,827403.9836752681,180124.69780605327,724757.986463328,0.8,10
2023-04-14,919324.8781025275,832085.0122717323,180124.69780605327,739200.1802964741,0.8,10
2023-04-17,926217.7070982219,843753.889596968,180124.69780605327,746093.0092921685,0.8,10
2023-04-18,960742.0099441453,846325.870817788,180124.69780605327,780617.312138092,0.8,10
2023-04-19,966326.517743862,838705.9260432782,180124.69780605327,786201.8199378087,0.8,10
2023-04-20,1007274.6556815254,836359.3927510122,180124.69780605327,827149.9578754721,0.8,10
2023-04-21,977134.8372873068,819999.9296428399,180124.69780605327,797010.1394812535,0.8,10
2023-04-24,983594.8238007759,809848.1031618163,180124.69780605327,803470.1259947226,0.8,10
2023-04-25,987329.9731763934,805785.8718877862,180124.69780605327,807205.2753703402,0.8,10
2023-04-26,963849.7131716041,805087.6889143124,180124.69780605327,783725.0153655508,0.8,10
2023-04-27,951237.1344755606,811022.5390382091,180124.69780605327,771112.4366695073,0.8,10
2023-04-28,985537.9049323788,819292.00647294,180124.69780605327,805413.2071263256,0.8,10
2023-05-04,984749.4746084333,819528.1503165675,196319.15066253018,788430.3239459031,0.8,10
2023-05-05,991107.8698461558,816809.496785054,196319.15066253018,794788.7191836255,0.8,10
2023-05-08,1013275.868764931,826119.6198200024,196319.15066253018,816956.7181024008,0.8,10
2023-05-09,1005601.2766510268,819045.8784196146,196319.15066253018,809282.1259884966,0.8,10
2023-05-10,983868.8903314382,812741.0025037185,196319.15066253018,787549.739668908,0.8,10
2023-05-11,981131.0973040435,811479.0878694435,196319.15066253018,784811.9466415133,0.8,10
2023-05-12,972946.3255790282,800721.8644614862,196319.15066253018,776627.174916498,0.8,10
2023-05-15,986593.6825448365,813151.2904855382,196319.15066253018,790274.5318823063,0.8,10
2023-05-16,987132.0330834837,808945.7624177388,196319.15066253018,790812.8824209535,0.8,10
2023-05-17,981329.463037297,805277.3482296929,196319.15066253018,785010.3123747668,0.8,10
2023-05-18,987252.2444967704,804444.673274668,196319.15066253018,790933.0938342402,0.8,10
2023-05-19,979902.7498582798,802100.1530918932,196319.15066253018,783583.5991957496,0.8,10
2023-05-22,981163.482170472,807140.5318997228,196319.15066253018,784844.3315079418,0.8,10
2023-05-23,969081.4773897498,795724.8793471294,196319.15066253018,772762.3267272196,0.8,10
2023-05-24,951274.3839566762,784725.025409407,196319.15066253018,754955.233294146,0.8,10
2023-05-25,951101.4194056308,782977.5040301334,196319.15066253018,754782.2687431006,0.8,10
2023-05-26,958048.4885063076,783069.3140235872,196319.15066253018,761729.3378437774,0.8,10
2023-05-29,960210.780540245,779610.5275703174,196319.15066253018,763891.6298777148,0.8,10
2023-05-30,956579.4816363796,780385.574724357,196319.15066253018,760260.3309738494,0.8,10
2023-05-31,947096.1766378977,772412.5020769088,196319.15066253018,750777.0259753675,0.8,10
2023-06-01,946338.4996965873,774105.2424766998,188661.55838626905,757676.9413103183,0.8,10
2023-06-02,952294.5154723343,785282.229715192,188661.55838626905,763632.9570860653,0.8,10
2023-06-05,954584.0583482919,781706.5202359292,188661.55838626905,765922.4999620229,0.8,10
2023-06-06,947935.0800854216,774368.5734656756,188661.55838626905,759273.5216991525,0.8,10
2023-06-07,953815.7425061878,770541.40830999,188661.55838626905,765154.1841199187,0.8,10
2023-06-08,966176.121877274,776813.5457786081,188661.55838626905,777514.563491005,0.8,10
2023-06-09,964132.6647137762,780171.9614394774,188661.55838626905,775471.1063275072,0.8,10
2023-06-12,958538.8145588246,781743.7729287326,188661.55838626905,769877.2561725556,0.8,10
2023-06-13,964108.3312142723,785907.249376053,188661.55838626905,775446.7728280033,0.8,10
2023-06-14,957272.2877814628,785727.7572803241,188661.55838626905,768610.7293951937,0.8,10
2023-06-15,962761.9844097628,798228.2928386192,188661.55838626905,774100.4260234938,0.8,10
2023-06-16,967435.4248857162,805925.183131452,188661.55838626905,778773.8664994471,0.8,10
2023-06-19,953952.1746349647,799328.0809883302,188661.55838626905,765290.6162486956,0.8,10
2023-06-20,956240.4814209765,797971.7332179314,188661.55838626905,767578.9230347074,0.8,10
2023-06-21,952541.8345822452,785729.302697711,188661.55838626905,763880.2761959762,0.8,10
2023-06-26,941744.0144136655,774680.3614235107,188661.55838626905,753082.4560273965,0.8,10
2023-06-27,949733.4050036926,781947.3206661571,188661.55838626905,761071.8466174236,0.8,10
2023-06-28,949583.2539614871,781004.8600733345,188661.55838626905,760921.6955752181,0.8,10
2023-06-29,946905.2614466881,777150.4467689826,188661.55838626905,758243.7030604191,0.8,10
2023-06-30,951137.2270821172,781340.9883550156,188661.55838626905,762475.6686958482,0.8,10
2023-07-03,950376.3173004518,791595.747767792,189466.53563475795,760909.7816656939,0.8,10
2023-07-04,947523.1748172533,792842.492910347,189466.53563475795,758056.6391824953,0.8,10
2023-07-05,938658.5975445304,786699.8858200898,189466.53563475795,749192.0619097725,0.8,10
2023-07-06,932969.6555693679,781402.6220405435,189466.53563475795,743503.11993461,0.8,10
2023-07-07,933812.9529356254,777934.4004074371,189466.53563475795,744346.4173008675,0.8,10
2023-07-10,931064.740392196,781722.3200952676,189466.53563475795,741598.204757438,0.8,10
2023-07-11,939821.0277955371,786838.3023484264,189466.53563475795,750354.4921607792,0.8,10
2023-07-12,925734.8021591115,781541.3435854696,189466.53563475795,736268.2665243535,0.8,10
2023-07-13,946748.4906943161,792722.4383807011,189466.53563475795,757281.9550595582,0.8,10
2023-07-14,954861.8038697038,792860.6718990839,189466.53563475795,765395.2682349458,0.8,10
2023-07-17,945200.5233005376,786368.3327872519,189466.53563475795,755733.9876657797,0.8,10
2023-07-18,934810.5635004757,783880.2921318754,189466.53563475795,745344.0278657178,0.8,10
2023-07-19,933671.0436421527,783052.070419058,189466.53563475795,744204.5080073947,0.8,10
2023-07-20,915574.5803581894,777526.8575749232,189466.53563475795,726108.0447234315,0.8,10
2023-07-21,915264.0728289431,777163.9691711192,189466.53563475795,725797.5371941852,0.8,10
2023-07-24,915423.7163583684,773770.3545958161,189466.53563475795,725957.1807236105,0.8,10
2023-07-25,935040.4728899966,796116.7443269405,189466.53563475795,745573.9372552386,0.8,10
2023-07-26,930200.824369372,794469.1463824026,189466.53563475795,740734.288734614,0.8,10
2023-07-27,928976.6315337302,793520.1381001244,189466.53563475795,739510.0958989722,0.8,10
2023-07-28,941066.291930445,811900.8038061515,189466.53563475795,751599.756295687,0.8,10
2023-07-31,943093.6974949685,816352.5209305942,189466.53563475795,753627.1618602106,0.8,10
2023-08-01,942339.2225369724,812971.0866844337,187864.26454099757,754474.9579959748,0.8,10
2023-08-02,931947.189727518,807255.8891738895,187864.26454099757,744082.9251865204,0.8,10
2023-08-03,941334.8276198218,814391.0202465336,187864.26454099757,753470.5630788242,0.8,10
2023-08-04,942592.9960592518,817562.2370591781,187864.26454099757,754728.7315182543,0.8,10
2023-08-07,937957.23079965,811375.2602223617,187864.26454099757,750092.9662586524,0.8,10
2023-08-08,936326.0054721676,809256.2286370193,187864.26454099757,748461.7409311701,0.8,10
2023-08-09,936873.8365920719,806782.1374070047,187864.26454099757,749009.5720510744,0.8,10
2023-08-10,938067.2705340814,808439.678892362,187864.26454099757,750203.0059930838,0.8,10
